Country_Other,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,New_Recovered,Active_Cases,Serious_Critical,Tot _Cases/1_Mpop,Deaths/1_Mpop,Total_Tests,Tests/1_Mpop,Population,Continent,1_Caseevery_Xppl,1_Deathevery_Xppl,1_Testevery_Xppl,New_Cases/1_Mpop,New_Deaths/1_Mpop,Active_Cases/1_Mpop
Philippines,3680244.0,265.0,59422.0,52.0,3588359.0,1375.0,32463.0,289.0,32818.0,530.0,29066768.0,259196.0,112141839.0,Asia,30.0,1887.0,4.0,2.0,0.5,289.0
Portugal,3604114.0,0.0,21693.0,0.0,0.0,0.0,0.0,61.0,355278.0,2138.0,40239817.0,3966663.0,10144500.0,Europe,3.0,468.0,0.0,0.0,0.0,69618.0
Peru,3549028.0,0.0,212372.0,0.0,0.0,0.0,0.0,421.0,105068.0,6287.0,28971116.0,857685.0,33778256.0,South America,10.0,159.0,1.0,0.0,0.0,47841.0
Canada,3521753.0,0.0,37772.0,0.0,3313633.0,0.0,170348.0,386.0,91896.0,986.0,59642149.0,1556292.0,38323241.0,North America,11.0,1015.0,1.0,0.0,0.0,4445.0
Switzerland,3512093.0,0.0,13737.0,2.0,2930765.0,14360.0,567591.0,132.0,400660.0,1567.0,20400357.0,2327276.0,8765765.0,Europe,2.0,638.0,0.0,0.0,0.2,64751.0
Chile,3491962.0,0.0,56809.0,0.0,3131639.0,0.0,303514.0,520.0,179958.0,2928.0,35790084.0,1844436.0,19404346.0,South America,6.0,342.0,1.0,0.0,0.0,15642.0
Greece,3114591.0,0.0,27816.0,0.0,2856354.0,0.0,230421.0,358.0,301403.0,2692.0,75356144.0,7292304.0,10333653.0,Europe,3.0,372.0,0.0,0.0,0.0,22298.0
Denmark,2927746.0,3000.0,5813.0,15.0,2873033.0,5933.0,48900.0,16.0,502357.0,997.0,126901505.0,21774370.0,5828022.0,Europe,2.0,1003.0,0.0,515.0,3.0,8390.0
Romania,2866793.0,2320.0,65147.0,18.0,2606660.0,0.0,194986.0,360.0,150786.0,3427.0,22213710.0,1168383.0,19012351.0,Europe,7.0,292.0,1.0,122.0,0.9,10256.0
Sweden,2487852.0,0.0,18331.0,0.0,2441012.0,326.0,28509.0,25.0,243672.0,1795.0,18417910.0,1803935.0,10209851.0,Europe,4.0,557.0,1.0,0.0,0.0,2792.0
Iraq,2321095.0,289.0,25179.0,1.0,2286233.0,601.0,9683.0,36.0,55520.0,602.0,18373555.0,439490.0,41806569.0,Asia,18.0,1660.0,2.0,7.0,0.02,232.0
Serbia,1985085.0,1351.0,15850.0,8.0,1936195.0,0.0,33040.0,27.0,228813.0,1827.0,9262624.0,1067667.0,8675570.0,Europe,4.0,547.0,1.0,156.0,0.9,3808.0
Bangladesh,1951903.0,36.0,29123.0,0.0,1886036.0,785.0,36744.0,1283.0,11648.0,174.0,13865462.0,82744.0,167570461.0,Asia,86.0,5754.0,12.0,0.2,0.0,219.0
Hungary,1863039.0,2880.0,45647.0,36.0,1720497.0,3229.0,96895.0,49.0,193718.0,4746.0,11168674.0,1161314.0,9617276.0,Europe,5.0,211.0,1.0,299.0,4.0,10075.0
Slovakia,1732096.0,0.0,19482.0,20.0,1637371.0,10365.0,75243.0,169.0,316985.0,3565.0,6926378.0,1267572.0,5464286.0,Europe,3.0,280.0,1.0,0.0,4.0,13770.0
Jordan,1689314.0,0.0,14003.0,0.0,1668852.0,0.0,6459.0,276.0,162731.0,1349.0,16575546.0,1596720.0,10380995.0,Asia,6.0,741.0,1.0,0.0,0.0,622.0
