Continent,Total_Cases,Total_Deaths,Total_Recovered,Active_Cases,Serious_Critical
South America,4018577.4285714286,92102.28571428571,3557232.5714285714,71838.92857142857,809.2857142857143
Europe,3782408.375,37078.770833333336,3204652.0,335276.5833333333,217.33333333333334
Asia,3022540.0,29940.808510638297,2571307.276595745,87084.63829787234,527.1914893617021
North America,2546617.210526316,38036.52631578947,2083014.5263157894,425296.7631578947,192.73684210526315
Australia/Oceania,390391.8,631.9333333333333,341927.4666666667,43044.066666666666,9.933333333333334
Africa,206750.61403508772,4440.210526315789,174517.70175438595,8379.052631578947,23.526315789473685
